id_execucao,id_cenario,grupo,patologia,n_holders,distribuicao,parametro_dist,n_candidatos,tamanho_comite,turnout,n_aprovacoes,n_blocos,frac_proxy,tam_cartel,orcamento_suborno,frac_exchange,frac_colludida,n_rodadas,vantagem_incumbencia,reinveste_recompensa,metrica,camada,media,ic95,n_runs,seed_base
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,gini,produzido,0.11529,0.002504,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,coef_nakamoto,stake,37.1,0.491462,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,coef_nakamoto,eleito,6.0,0.0,30,123
20260703-200911,8,G4,compra_de_voto,200,uniforme,1.16,100,21,1.0,30,10000,0.0,0,0.1,0.0,0.0,1,0.0,0.0,coef_nakamoto,produzido,6.0,0.0,30,123
20260703-200911,9,G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,stake,0.0,0.0,30,123
20260703-200911,9,G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,eleito,0.0,0.0,30,123
20260703-200911,9,G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_por_cadeira,produzido,0.0,0.0,30,123
20260703-200911,9,G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,stake,1e-06,1e-06,30,123
20260703-200911,9,G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,eleito,1e-06,1e-06,30,123
20260703-200911,9,G4,compra_de_voto,200,zipf,1.16,100,21,1.0,30,10000,0.0,0,0.0,0.0,0.0,1,0.0,0.0,custo_takeover,produzido,1e-06,1e-06,30,123
